,state,x,y
0,Alabama,139,-77
1,Arkansas,57,-53
2,Delaware,275,42
3,Illinois,95,37
4,Indiana,133,39
5,Iowa,38,65
6,Kansas,-17,5
7,Kentucky,149,1
8,Maryland,288,27
9,Minnesota,23,135
10,Mississippi,94,-78
11,Missouri,49,6
12,Montana,-141,150
13,Nevada,-257,56
14,New Hampshire,302,127
15,Ohio,176,52
16,Oklahoma,-8,-41
17,Tennessee,131,-34
18,Wisconsin,83,113
